1,Don Pedro,100000,500067,19,300010
2,Don Pedro,200000,540056,23,211003
3,Don Pedro,130000,530099,21,310078
4,Don Pedro,24000,500069,20,211010
5,Don Pedro,30000,510098,20,340034
6,Don Pedro,121211,540097,19,560088
7,Don Pedro,15999,540078,22,380099
8,Don Pedro,12365,520078,22,211010
9,Don Pedro,100101,510099,20,320078
10,Don Pedro,500000,500063,20,360045
11,Don Pedro,99999,510087,21,211003
12,Don Pedro,99999,550099,23,570098
13,Don Pedro,100000,530098,22,211005
14,Don Pedro,111000,500034,21,330088
15,Don Pedro,33333,530089,0,440067
